Source,Lake,nList,nStudy,Latitude,Longitude,Elevation,dD_OIPC_JJA,dD_OIPC_ANN,ANN_CI,OIPC_Year,dD_Lake,Err_Lake,dD_C21,Err_C21,dD_C23,Err_C23,dD_C25,Err_C25,dD_C27,Err_C27,dD_C29,Err_C29,dD_C31,Err_C31,dD_C33,Err_C33
Douglas et al 2012,El Juleque,105,18,16.91,-89.77,158,-25.7,-26,6,2018,-27.2,,,,,,,,,,-137.6,1,-146.4,2,-161.4,3
Douglas et al 2012,Puente Cienega,106,19,15.74,-89.07,75,-26,-25,4,2018,-24.6,,,,,,,,,,-155,2,-153.9,1,-151.9,1
Douglas et al 2012,El Golfete,107,20,15.72,-88.89,0,-25,-24,4,2018,-23.6,,,,,,,,,,-151.1,1,-152.1,1,-163.1,1
Douglas et al 2012,Izabal Centro,108,21,15.52,-89.15,4,-25,-24,4,2018,-26.4,,,,,,,,,,-165.2,,-155.9,,-163.7,
Douglas et al 2012,Izabal Mina,109,22,15.51,-89.36,9,-25.3,-24,4,2018,-29,,,,,,,,,,,,,,,
Douglas et al 2012,Naco,110,23,15.41,-88.14,97,-26.3,-25,4,2018,-24.3,,,,,,,,,,-148.3,1,-146.5,1,-151.6,1
Douglas et al 2012,Izabal Rio Oscuro,111,24,15.38,-89.33,4,-25.3,-25,4,2018,-31.1,,,,,,,,,,-154,1,-152.6,4,-160.8,4
Douglas et al 2012,Ceibita,112,25,15.34,-88.36,188,-27.3,-26,3,2018,-26.9,,,,,,,,,,,,,,,
Douglas et al 2012,La Barca,113,26,15.12,-87.94,56,-25.7,-24,4,2018,-29.4,,,,,,,,,,-155.3,1,-160.1,1,-174.6,1
Douglas et al 2012,La Entrada,114,27,15.1,-88.71,426,-30,-31,2,2018,-34.7,,,,,,,,,,-147.9,2,-163.2,1,-179.2,2
Douglas et al 2012,Pena Blanca,115,28,14.94,-88.03,655,-31.3,-33,1,2018,-49,,,,,,,,,,-160,1,-162.5,1,-177.2,2
Douglas et al 2012,Yojoa,116,29,14.91,-87.97,662,-31.3,-33,1,2018,-48.2,,,,,,,,,,,,,,,
Douglas et al 2012,Rio Blanco,117,30,14.89,-89.03,707,-33,-36,1,2018,-44.5,,,,,,,,,,-160.5,1,-160.6,2,-177.6,1
Douglas et al 2012,Copan,118,31,14.84,-89.15,613,-32.3,-34,1,2018,-48.6,,,,,,,,,,-156.4,1,-155.8,1,-163.7,1
Douglas et al 2012,Taulabe,119,32,14.71,-87.97,557,-30.7,-32,2,2018,-45.8,,,,,,,,,,-152.7,2,-158.2,1,-160.2,1
Douglas et al 2012,Rio Rosario,120,33,14.48,-86.98,891,-34,-36,2,2018,-39.5,,,,,,,,,,-153.7,2,-162,2,-165.1,5
Douglas et al 2012,Comayagua,121,34,14.45,-87.65,563,-31.3,-32,2,2018,-39.2,,,,,,,,,,-166.8,1,-171.6,1,-175.1,1
Douglas et al 2012,Rio Jalan,122,35,14.45,-86.81,765,-32.7,-33,2,2018,-37.8,,,,,,,,,,-157.9,2,-167,2,-182.8,1
Douglas et al 2012,El Chile,123,36,14.35,-86.85,1380,-39,-43,4,2018,-44.9,,,,,,,,,,-158.1,4,-158.6,3,-155.9,5
Douglas et al 2012,Gaungolo,124,37,14.26,-87.24,829,-33.7,-35,1,2018,-39.8,,,,,,,,,,-165.8,1,-168.1,1,-167.1,3
Douglas et al 2012,Santa Lucia,125,38,14.12,-87.09,1405,-40,-43,3,2018,-46.7,,,,,,,,,,-135.1,1,-152.3,1,-167.6,2
Aichner et al 2010,Qai-07,126,1,37.46,95.58,3174,-24,-43,4,2018,,,,,-146,9,-146,6,-151,10,-156,2,-148,4,,
Aichner et al 2010,Qai-06,127,2,37.29,96.89,2812,-15.3,-36,1,2018,,,,,-113,2,-114,5,,,,,,,,
Aichner et al 2010,Qai-02,128,3,37.04,100.58,3205,-37.3,-57,6,2018,,,,,,,,,-135,2,-150,6,-173,2,,
Aichner et al 2010,Donggi,129,4,35.23,98.65,4095,-57.7,-76,5,2018,,,,,-175,,-166,9,-158,13,-162,12,-168,4,,
Aichner et al 2010,MiY 35,130,5,34.74,98.11,4241,-75.3,-95,4,2018,,,,,-158,4,-154,6,,,,,,,,
Aichner et al 2010,MiY 46,131,6,34.68,98.06,4233,-76.7,-97,4,2018,,,,,,,,,,,-169,4,-176,7,,
Aichner et al 2010,CTP 35,132,7,34.16,95.98,4701,-94,-113,5,2018,,,,,-207,1,-207,1,-191,3,-188,5,-188,3,,
Aichner et al 2010,MiY 42,133,8,34.03,97.55,4617,-96.3,-112,5,2018,,,,,-182,1,-185,4,-176,2,-189,13,-186,1,,
Aichner et al 2010,Koucha,134,9,34.02,97.22,4541,-94.7,-111,4,2018,,,,,-176,8,-183,3,-169,2,-180,5,-176,5,,
Aichner et al 2010,MiY 39,135,10,33.99,97.46,4581,-97,-112,4,2018,,,,,-210,2,-210,2,-199,5,-205,4,-212,1,,
Aichner et al 2010,CTP 25,136,11,32.57,91.86,5133,-120.7,-135,5,2018,,,,,-174,5,-176,1,,,,,,,,
Aichner et al 2010,CTP 20,137,12,32.1,89.53,4724,-124,-135,5,2018,,,,,-206,3,-199,4,-187,1,-194,1,-210,1,,
Aichner et al 2010,LC 06,138,13,29.83,94.46,4132,-122,-127,4,2018,,,,,-245,1,-244,2,-237,2,-232,0,-228,1,,
Aichner et al 2010,LC 05,139,14,29.81,94.43,4050,-121,-126,4,2018,,,,,-232,2,-236,2,-229,4,-230,2,-232,0,,
Aichner et al 2010,LC 10,140,15,29.65,96.72,4431,-111,-122,7,2018,,,,,-197,1,-192,4,-186,4,-193,2,-220,6,,
Aichner et al 2010,SET 16,141,16,25.92,100.12,1967,-70,-73,2,2018,,,,,-172,2,-172,3,-168,2,-172,1,-178,8,,
Guenther et al 2013,NC,142,1,30.5,90.6,4718,-130.3,-139,4,2018,,,-216.3,6.7,-173.3,5.9,-189.5,6.7,-213.5,29.7,-221.4,12.7,-189.4,14.2,,
Guenther et al 2013,TRC,143,2,30.75,86.38,4549,-107.3,-112,6,2018,,,-224.5,4.2,-183.7,8,-176.7,5.3,-173.4,7.1,-211.2,8.8,-204.8,11,,
Guenther et al 2013,TC,144,3,31.05,83.92,4570,-91.3,-103,3,2018,,,-231.9,3,-192,4.6,-199,3.9,-226.4,4.5,-219.1,6.6,-207.9,4.8,,
Guenther et al 2013,KYC,145,4,30.6,82.05,4798,-87.3,-109,10,2018,,,-212.3,6.6,-181.8,3,-207.1,6.9,-156.6,4.2,-238.7,9.7,-220.4,4.3,,
Guenther et al 2013,LMC,146,5,34.58,80.35,5030,-71.7,-97,19,2018,,,-71.6,0,-79.8,6.9,-176.3,10.4,-173.6,4.5,-209.2,4.6,-194.8,3,,
Guenther et al 2013,SXC,147,6,34.58,80.2,5070,-71.7,-98,19,2018,,,-345.7,8.8,-135,12.1,-158.5,5,-148.1,8.8,-196.5,10.8,-191.6,8.1,,
Xia et al 2008,QY,148,1,28.89,90.22,4855,-128.7,-135,2,2018,-135,,,,,,-183,9,-186,7,-199,9,-214,10,,
Xia et al 2008,YZY,149,2,29.03,90.47,4445,-124.3,-129,0,2018,-107,,,,,,-180,5,-173,15,-187,6,-189,5,,
Xia et al 2008,NC,150,3,30.64,90.6,4718,-130.3,-139,4,2018,-64,,,,,,-209,4,-201,26,-246,9,-243,15,,
Xia et al 2008,KLK,151,4,37.28,96.88,2812,-15.3,-36,1,2018,-36,,,,,,-104,7,-116,22,-126,8,-131,5,,
Xia et al 2008,XQ,152,5,37.47,95.49,3163,-23,-43,4,2018,-22,,,,,,-118,11,-124,13,-139,7,-138,8,,
Mugler et al 2008,Tibet_ave (NC),153,1,30.64,90.6,4718,-130.3,-139,4,2018,-71,,-207,21,-176,18.7,-187.3,35.8,-175,40.3,-246,36.4,-232.3,25.2,,
Mugler et al 2008,Tibet 4 (CJ),154,2,30.9,90.87,4718,-130.3,-139,4,2018,-87,,-222,8,-190,1,-217,6,-202,14,-255,3,-230,12,,
Mugler et al 2008,HZM,155,3,50.12,6.88,425,-27,-56,2,2018,-47,,,,-225,6,,,,,-198,1,,,,
Duan et al 2011,Lake Qinghai,156,1,37,100,3193,-35,-53,5,2018,,,-160,31.2,-168,19.5,-169,14.6,-163,12.7,-157,8.8,-163,13.6,,
